2021. 11. 01. 18:20:00 2195 ms,	51 B	/graphql/ body: { "query" : "query{ student(id: 1){ name } }" }
2021. 11. 01. 18:20:00 334 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:01 199 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:01 178 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:01 176 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:01 189 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:01 166 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:01 144 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:02 146 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:02 146 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:02 141 ms,	9100 B	/graphql/ body: { "query" : " query{ students(first: 100){ nodes{ studentId, name, dayOfBirth, neptun } } }" }
2021. 11. 01. 18:20:02 16 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 10 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 10 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 11 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 10 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 12 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 14 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 10 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 10 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 10 ms,	23985 B	/graphql/ body: { "query" : " query{ student(id: 1){ qRCode } }" }
2021. 11. 01. 18:20:02 214 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:02 129 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:03 129 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:03 137 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:03 143 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:03 137 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:03 134 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
2021. 11. 01. 18:20:03 178 ms,	7812 B	/graphql/ body: { "query" : " query{ students(order: { name: DESC}, where: { or: [ { name: { contains: \"é\" } }, { name: { contains: \"á\" } } ] }, first: 50 ){ nodes{ name, courses{ name } } } }" }
